# Evolutionary track for a 1.151 Msun sequence with He atmosphere.
# log Teff [K], log L/Lsun, log g [cm/s^2], log radius [Rsun], mass [Msun], cooling age [Gyr], total age [Gyr]
5.643496860519074,3.535392676018323,8.491023333148028,-1.9960385465763597,1.150951137782678,0.0,0.020542409966465176
5.637978253450853,3.497514798866384,8.506826782027083,-2.0039402710158876,1.150951137782678,2.249133660495281e-07,0.020542634879831226
5.631505253782313,3.454514170693902,8.52393541152541,-2.01249458576505,1.150951137782678,4.948094053119422e-07,0.020542904775870487
5.623980954394565,3.4061424540568317,8.542209930611484,-2.0216318453080877,1.150951137782678,8.186846524290741e-07,0.020543228651117604
5.615303788686445,3.35217307364759,8.561470648188246,-2.0312622040964685,1.150951137782678,1.2073349489681424e-06,0.020543617301414144
5.605370203485173,3.292412639742337,8.581496741288412,-2.0412752506465512,1.150951137782678,1.673715304814279e-06,0.02054408368176999
5.594085061409682,3.2267272565023113,8.602041556226476,-2.051547658115584,1.150951137782678,2.233371731828898e-06,0.020544643338197003
5.58178958138551,3.1574392503653317,8.622147642266764,-2.061600701135728,1.150951137782678,2.8801078093312683e-06,0.020545290074274507
5.5713073398343145,3.1001067013821566,8.637551225045158,-2.0693024925249244,1.150951137782678,3.4548436835855248e-06,0.02054586481014876
5.561629405477553,3.0483164105717195,8.650629778428549,-2.07584176921662,1.150951137782678,4.010410216413438e-06,0.020546420376681588
5.5506985597326475,2.990861205816004,8.664361600204643,-2.082707680104667,1.150951137782678,4.67709005581215e-06,0.020547087056520988
5.538421380628792,2.927501925173248,8.678612164431975,-2.089832962218333,1.150951137782678,5.4771058630868796e-06,0.020547887072328262
5.52802481141596,2.874819222533785,8.689708590220109,-2.0953811751124003,1.150951137782678,6.187289326071739e-06,0.020548597255791248
5.518415878133098,2.8268048368363097,8.69928724278614,-2.1001705013954153,1.150951137782678,6.875637710273266e-06,0.02054928560417545
5.507542439706691,2.7731102616716417,8.709488064245182,-2.105270912124937,1.150951137782678,7.701655771311373e-06,0.020550111622236487
5.495286427160933,2.7133392975093105,8.720234978224477,-2.1106443691145844,1.150951137782678,8.692877444557846e-06,0.020551102843909732
5.484861168470151,2.6631426724640916,8.72873056850657,-2.1148921642556306,1.150951137782678,9.574335466016084e-06,0.02055198430193119
5.47518564137524,2.617026518450334,8.736144614140683,-2.118599187072687,1.150951137782678,1.0428099295657128e-05,0.02055283806576083
5.464164229072537,2.5649296023049053,8.744155881075297,-2.1226048205399946,1.150951137782678,1.1452615891229362e-05,0.020553862582356405
5.451638448899427,2.5063320689650483,8.752650293722715,-2.1268520268637037,1.150951137782678,1.2682035805918277e-05,0.020555092002271094
5.441017510251946,2.45717722570808,8.75932138238976,-2.1301875711972262,1.150951137782678,1.3765716141916811e-05,0.020556175682607092
5.4312096435766914,2.412120825193,8.765146316203824,-2.1331000381042573,1.150951137782678,1.4807104975212365e-05,0.020557217071440387
5.420016507138271,2.361029608397738,8.771464987245404,-2.1362593736250477,1.150951137782678,1.605677157516405e-05,0.020558466738040338
5.4073336974054795,2.303527854297695,8.77823550241428,-2.1396446312094857,1.150951137782678,1.7556371495105327e-05,0.02055996633796028
5.396723605113527,2.2557430028408163,8.783579984703348,-2.1423168723540194,1.150951137782678,1.8869013559006154e-05,0.020561278980024182
5.386992522002152,2.2121383288255987,8.788260326273067,-2.1446570431388796,1.150951137782678,2.0129024870168418e-05,0.020562538991335342
5.375958911296112,2.1629107429715164,8.793353469302987,-2.147203614653839,1.150951137782678,2.164103844356537e-05,0.02056405100490874
5.363552758444411,2.1078131402569698,8.79882646061073,-2.149940110307711,1.150951137782678,2.34554547316432e-05,0.02056586542119682
5.353153594326107,2.0618473679400027,8.803195576454483,-2.1521246682295874,1.150951137782678,2.5058180185630918e-05,0.020567468146650805
5.343585708859439,2.019710794436483,8.807060608091327,-2.1540571840480087,1.150951137782678,2.660939891776815e-05,0.020569019365382944
5.332765358056711,1.972213943354803,8.811276055962093,-2.1561649079833924,1.150951137782678,2.8470861396335066e-05,0.02057088082786151
5.320593599347546,1.9189764449376074,8.815826519542634,-2.1584401397736626,1.150951137782678,3.070461637061462e-05,0.02057311458283579
5.310270640752987,1.8739982105484423,8.81951291955356,-2.160283339779126,1.150951137782678,3.269687756479159e-05,0.020575106844029967
5.30069068733081,1.8323893996780354,8.822801916735262,-2.1619278383699765,1.150951137782678,3.463321818513423e-05,0.02057704318465031
5.289777986602963,1.7851299169662762,8.82641059653563,-2.1637321782701613,1.150951137782678,3.6956826929550615e-05,0.020579366793394727
5.277393232443606,1.7316674231294207,8.830334073735056,-2.165693916869874,1.150951137782678,3.974515742284432e-05,0.02058215512388802
5.266886317010405,1.6864602355669573,8.83351359956472,-2.1672836797847057,1.150951137782678,4.221602726873756e-05,0.020584625993733913
5.2571546531281355,1.644701497983877,8.836345681618722,-2.168699720811707,1.150951137782678,4.46004657032825e-05,0.020587010432168457
5.2460327220489855,1.597093036889986,8.839466418396013,-2.1702600892003523,1.150951137782678,4.74617918247357e-05,0.02058987175828991
5.233415456757233,1.5432261773782092,8.842864216740779,-2.1719589883727353,1.150951137782678,5.089538317048549e-05,0.02059330534963566
5.22284623927462,1.4982246909434092,8.845588833245127,-2.1733212966249096,1.150951137782678,5.390959956968576e-05,0.02059631956603486
5.213142344164574,1.456994434554901,8.84800350919345,-2.1745286345990706,1.150951137782678,5.680741136975214e-05,0.020599217377834926
5.202127223517623,1.4102798043450084,8.85065765681554,-2.1758557084101167,1.150951137782678,6.0284785529833286e-05,0.02060269475199501
5.189735141498866,1.3578272858584859,8.853541847227032,-2.1772978036158612,1.150951137782678,6.445763452192769e-05,0.0206068676009871
5.179364792683844,1.3140179137775239,8.85586982404791,-2.1784617920263,1.150951137782678,6.814622184745595e-05,0.02061055618831263
5.169838666294234,1.2738356203558752,8.857947611911118,-2.1795006859579047,1.150951137782678,7.171913201256842e-05,0.020614129098477745
5.159095541192507,1.2285834297421894,8.860227302117895,-2.180640531061293,1.150951137782678,7.600662421070411e-05,0.02061841659067588
5.147079108467287,1.1780417929198364,8.862703208039369,-2.18187848402203,1.150951137782678,8.115161484846845e-05,0.020623561581313645
5.136931255235528,1.1354259150618975,8.864727672970272,-2.1828907164874813,1.150951137782678,8.576337497951463e-05,0.020628173341444688
5.127554004145246,1.0960941634038035,8.866550420267235,-2.183802090135963,1.150951137782678,9.027373093256727e-05,0.020632683697397743
5.11700585088464,1.0518980675938048,8.86855390303481,-2.184803831519751,1.150951137782678,9.568615807622671e-05,0.020638096124541403
5.105220667287805,1.0025826216693874,8.870728614571886,-2.185891187288289,1.150951137782678,0.00010218107064862176,0.0206445910371138
5.095182427821125,0.96063336039496,8.872524917979593,-2.1867893389921425,1.150951137782678,0.00010805803039056807,0.020650467996855743
5.085858858375296,0.921713164490128,8.874150836101112,-2.1876022980529015,1.150951137782678,0.00011383580874315649,0.02065624577520833
5.0753574714601175,0.8779206349488855,8.875937817981638,-2.188495788993165,1.150951137782678,0.00012076914276626334,0.02066317910923144
5.063605584732159,0.8289688026134348,8.877882103405256,-2.1894679317049732,1.150951137782678,0.0001290891435939893,0.020671499110059166
5.053565814916956,0.7872000644181036,8.879491762339779,-2.190272761172235,1.150951137782678,0.00013663124294911697,0.020679041209414294
5.04422727982208,0.7483882398504389,8.880949446527937,-2.191001603266314,1.150951137782678,0.00014404765083122627,0.0206864576172964
5.033696374180028,0.7046624762027848,8.882551587607384,-2.191802673806038,1.150951137782678,0.00015294734028975664,0.02069535730675493
5.021907878493622,0.6557664642429005,8.884293616821646,-2.192673688413169,1.150951137782678,0.00016362696763999387,0.02070603693410517
5.011861139586971,0.6141404050273022,8.885732720410637,-2.1933932402076644,1.150951137782678,0.00017329376606232673,0.020715703732527502
5.002534865974328,0.5755334722409929,8.887034558746373,-2.194044159375532,1.150951137782678,0.00018279394187716022,0.020725203908342336
4.992043543019703,0.5321389379881957,8.888463801180674,-2.1947587805926827,1.150951137782678,0.00019419415285495668,0.020736604119320132
4.980339032190579,0.4837689880434857,8.890015707808885,-2.1955347339067885,1.150951137782678,0.00020787440602831916,0.020750284372493495
4.970374948943996,0.44262888915612464,8.891299473709914,-2.196176616857303,1.150951137782678,0.0002202910876708515,0.020762701054136027
4.95923674058905,0.39667415762014024,8.892701371826117,-2.196877565915404,1.150951137782678,0.00023519110564189033,0.020777601072107067
4.946927020461346,0.3459274775706377,8.894209171364801,-2.1976314656847467,1.150951137782678,0.0002530711272071376,0.020795481093672314
4.936790477965655,0.30417489649651724,8.89541558245616,-2.1982346712304253,1.150951137782678,0.00026885860847425836,0.020811268574939434
4.927540487076766,0.2661008364148611,8.896489678982258,-2.198771719493475,1.150951137782678,0.00028426834109378604,0.020826678307558962
4.917260408358005,0.22381020599341533,8.89765999452866,-2.199356877266676,1.150951137782678,0.0003027600202372186,0.020845169986702394
4.905945929623798,0.17729303920903017,8.89891924637622,-2.199986503190456,1.150951137782678,0.0003249500352093391,0.020867360001674513
4.896307099599353,0.13769018303796215,8.899966782449507,-2.2005102712270994,1.150951137782678,0.00034536534575746583,0.02088777531222264
4.885701828814386,0.09413609363758382,8.901099788710017,-2.201076774357354,1.150951137782678,0.0003698637184152119,0.020912273684880387
4.874225707752735,0.046794366763305305,8.90253703133769,-2.2017953956711906,1.150951137782678,0.0003992617656045072,0.02094167173206968
4.865707610982924,0.011796185983807918,8.903462825037947,-2.2022582925213188,1.150951137782678,0.0004227802033559456,0.02096519016982112
4.8563500619446245,-0.026630248633353292,8.904459063501907,-2.2027564117532994,1.150951137782678,0.0004510023286576718,0.020993412295122846
4.846196991980177,-0.06830264990451637,8.905519184915281,-2.203286472459986,1.150951137782678,0.00048486887901974095,0.021027278845484915
4.83524392856534,-0.11323395161346216,8.906638232964882,-2.2038459964847865,1.150951137782678,0.0005255087394542247,0.0210679187059194
4.826108355184108,-0.15068850688317698,8.907550494709668,-2.2043021273571792,1.150951137782678,0.0005633202857345938,0.021105730252199768
4.816397364832573,-0.19048804650181786,8.908506072922167,-2.2047799164634294,1.150951137782678,0.0006086941412710398,0.021151104107736216
4.806071168548583,-0.2327894129597662,8.909502654244156,-2.2052782071244237,1.150951137782678,0.0006631427679147721,0.021205552734379948
4.795491124258226,-0.2761145770154388,8.9105076411384,-2.2057807005715455,1.150951137782678,0.0007284811198872551,0.02127089108635243
4.78678002497052,-0.3117715961707899,8.911320263142926,-2.206187011573809,1.150951137782678,0.0007895424708224461,0.02133195243728762
4.77786517816452,-0.34825567591443657,8.912144955662573,-2.206599357833632,1.150951137782678,0.0008628160919446759,0.021405226058409853
4.768768737536859,-0.3854768798315068,8.912980397068997,-2.2070170785368446,1.150951137782678,0.000950744437291354,0.02149315440375653
4.759599793938104,-0.42298795123990524,8.913815694082377,-2.207434727043534,1.150951137782678,0.0010562584517073632,0.02159866841817254
4.75059171576892,-0.45984027476920447,8.91463570493494,-2.207844732469815,1.150951137782678,0.0011828752690065726,0.021725285235471747
4.741765418082512,-0.4959493183714927,8.915439557791597,-2.208246658898144,1.150951137782678,0.0013348154497656302,0.021877225416230807
4.733780466193157,-0.5286385104452317,8.916188942307917,-2.2086213511563044,1.150951137782678,0.0015171436666764951,0.02205955363314167
4.726138727958707,-0.5599319132614746,8.91691539218636,-2.208984576095525,1.150951137782678,0.0017359375269695371,0.022278347493434714
4.719262251303618,-0.588117259791162,8.917594832095691,-2.2093242960501915,1.150951137782678,0.0019984901593211816,0.022540900125786356
4.713626841330779,-0.6112687021613802,8.91820463457455,-2.2096291972896207,1.150951137782678,0.0023135533181431593,0.022855963284608333
4.707927161917987,-0.6346795194958371,8.918816734257843,-2.209935247131267,1.150951137782678,0.0026916291087295337,0.02323403907519471
4.702672987980869,-0.6563057178030025,8.919426236816538,-2.2102399984106147,1.150951137782678,0.0031453200574331768,0.023687730023898353
