# Evolutionary track for a 1.0645 Msun sequence with H atmosphere.
# log Teff [K], log L/Lsun, log g [cm/s^2], log radius [Rsun], mass [Msun], cooling age [Gyr], total age [Gyr]
5.531729870301415,3.332266873758449,8.213151605299593,-1.8740674672709803,1.0644550270800661,0.0,0.024634429693635967
5.530238049543514,3.320089298670787,8.21936189735565,-1.8771726132990083,1.0644550270800661,1.6006347711384295e-07,0.02463458975711308
5.528459989636933,3.305698059868063,8.226640896532048,-1.8808121128872073,1.0644550270800661,3.5213964964821936e-07,0.024634781833285616
5.526306235788732,3.2887574152691283,8.23496652573818,-1.8849749274902736,1.0644550270800661,5.826310566924513e-07,0.02463501232469266
5.523738161726774,3.2688901819806873,8.244561462778789,-1.8897723960105772,1.0644550270800661,8.592207451462746e-07,0.024635288914381114
5.52064820061161,3.2456807097510945,8.25541109054773,-1.8951972098950483,1.0644550270800661,1.1911283712908627e-06,0.024635620822007258
5.516995847578976,3.2186934061995296,8.267788981968756,-1.901386155605561,1.0644550270800661,1.589417522661388e-06,0.02463601911115863
5.512646646599452,3.187460715113,8.281624869137191,-1.9083040991897784,1.0644550270800661,2.067364504303783e-06,0.02463649705814027
5.50749202082896,3.151513537706558,8.296953543461663,-1.9159684363520146,1.0644550270800661,2.6409008822776375e-06,0.024637070594518244
5.501380504925667,3.110379672544509,8.31364134501054,-1.9243123371264528,1.0644550270800661,3.3291445358470083e-06,0.024637758838171812
5.494243698632141,3.0636295445999346,8.331844247781008,-1.9334137885116875,1.0644550270800661,4.155036920133978e-06,0.0246385847305561
5.485852600531387,3.010810805492175,8.351098594485753,-1.94304096186406,1.0644550270800661,5.146107781272381e-06,0.02463957580141724
5.47614712351645,2.951635922431075,8.371451569487105,-1.9532174493647352,1.0644550270800661,6.335392814639956e-06,0.024640765086450606
5.464979397877313,2.885807681225665,8.392608908135966,-1.9637961186891661,1.0644550270800661,7.762534854684025e-06,0.02464219222849065
5.452499146280006,2.8148948053083402,8.413600777664065,-1.9742920534532158,1.0644550270800661,9.427736942235381e-06,0.024643857430578203
5.441780466813561,2.7559067564186117,8.429714108688014,-1.9823487189651903,1.0644550270800661,1.0902344476222991e-05,0.02464533203811219
5.431855973654607,2.702547232724893,8.443375659745916,-1.9891794944941408,1.0644550270800661,1.231581477060914e-05,0.024646745508406575
5.420485361565866,2.642610476137836,8.457829967978011,-1.9964066486101884,1.0644550270800661,1.4011979123875499e-05,0.02464844167275984
5.407627152694086,2.5761032950361504,8.472904313592574,-2.00394382141747,1.0644550270800661,1.6047376347791402e-05,0.02465047706998376
5.396770785483911,2.52107122851944,8.484510911268586,-2.0097471202554757,1.0644550270800661,1.781594682200253e-05,0.024652245640457968
5.386780097362577,2.4711579592543047,8.494461428048384,-2.0147223786453754,1.0644550270800661,1.9501212139479816e-05,0.024653930905775445
5.375346613086877,2.4147316429048633,8.505153807295024,-2.0200685682686945,1.0644550270800661,2.1523530520450325e-05,0.024655953224156417
5.362341405840126,2.35136878674615,8.516495834466735,-2.0257395818545505,1.0644550270800661,2.3950312577616422e-05,0.024658380006213582
5.3515180893749505,2.2992885840451316,8.525282771307051,-2.0301330502747086,1.0644550270800661,2.6050084913183004e-05,0.02466047977854915
5.341625535731944,2.252121800220739,8.532879340559415,-2.0339313349008905,1.0644550270800661,2.804890446697548e-05,0.024662478598102944
5.330363176997401,2.198845104738212,8.541106601103774,-2.03804496517307,1.0644550270800661,3.044748793152347e-05,0.02466487718156749
5.317650492659373,2.1391977924411103,8.549903176048764,-2.042443252645565,1.0644550270800661,3.332578808898479e-05,0.02466775548172495
5.307070170016245,2.089949395816261,8.556830282101098,-2.045906805671732,1.0644550270800661,3.583988790104538e-05,0.02467026958153701
5.297384592153562,2.0451418931387333,8.562895473327897,-2.048939401285131,1.0644550270800661,3.825474528884143e-05,0.024672684438924807
5.286420607866943,1.994690793873487,8.569490635446668,-2.0522369823445166,1.0644550270800661,4.1152574154194445e-05,0.02467558226779016
5.274087259683491,1.9382655965269417,8.576582440059406,-2.0557828846508857,1.0644550270800661,4.46299687926136e-05,0.02467905966242858
5.26369073882532,1.890987317759707,8.58227463539395,-2.058628982318158,1.0644550270800661,4.771104208903387e-05,0.024682140735725
5.254083438006819,1.8475057915641633,8.587326958315494,-2.0611551437789295,1.0644550270800661,5.0695399620339276e-05,0.024685125093256304
5.243162167053741,1.7982930900160015,8.592854576051344,-2.0639189526468553,1.0644550270800661,5.4276628657907246e-05,0.024688706322293873
5.230794150614958,1.7428341617607812,8.59884143855143,-2.066912383896898,1.0644550270800661,5.857410350298509e-05,0.02469300379713895
5.220306184829928,1.6960407787813083,8.603682958390785,-2.0693331438165754,1.0644550270800661,6.238283628353849e-05,0.024696812529919506
5.210590325304028,1.6528630629448096,8.607997236123685,-2.0714902826830257,1.0644550270800661,6.606111067955195e-05,0.02470049080431552
5.199489182543061,1.6037076535587218,8.612748074465907,-2.0738657018541367,1.0644550270800661,7.047503995477036e-05,0.024704904733590737
5.18688386926577,1.5481143481360606,8.617920126779403,-2.076451728010884,1.0644550270800661,7.577175508503615e-05,0.024710201448721002
5.1762950074808165,1.5016078060583908,8.622071221717258,-2.078527275479812,1.0644550270800661,8.042481182127073e-05,0.024714854505457236
5.16655728453788,1.4589777047076933,8.625750431296211,-2.0803668802692883,1.0644550270800661,8.489636980152875e-05,0.024719326063437495
5.155478468034742,1.4106179118329039,8.629794958158447,-2.0823891437004067,1.0644550270800661,9.02622393778339e-05,0.0247246919330138
5.142979574791035,1.3562271741874747,8.634190122829045,-2.0845867260357056,1.0644550270800661,9.67012828693986e-05,0.024731130976505367
5.132525084376562,1.3108729995985176,8.63772633576011,-2.086354832501238,1.0644550270800661,0.00010237269991413503,0.0247368023935501
5.12292728546095,1.2693348854849242,8.640873254211257,-2.0879282917268114,1.0644550270800661,0.00010784833033502847,0.024742278023970995
5.112075476646604,1.2224699495657867,8.64433095487301,-2.0896571420576873,1.0644550270800661,0.00011441908684010058,0.024748848780476066
5.099902401862868,1.1700194634164223,8.64808914188743,-2.0915362355648988,1.0644550270800661,0.00012230399464618414,0.02475673368828215
5.089650841312363,1.125953431706748,8.651148931395085,-2.093066130318725,1.0644550270800661,0.00012933116511536016,0.024763760858751326
