# Evolutionary track for a 1.2163 Msun sequence with He atmosphere.
# log Teff [K], log L/Lsun, log g [cm/s^2], log radius [Rsun], mass [Msun], cooling age [Gyr], total age [Gyr]
5.750703005172973,3.889488210566571,8.589724137210986,-2.0334030686100344,1.2162662243595057,0.0,0.019546727587515852
5.748970379284487,3.876160118240042,8.596121725983574,-2.036601862996328,1.2162662243595057,2.8009829018265007e-08,0.01954675559734487
5.746904238503888,3.860525452242984,8.603491828858234,-2.0402869144336577,1.2162662243595057,6.162162384390831e-08,0.019546789209139697
5.744446928583582,3.8422678610794447,8.611920180340547,-2.044501090174815,1.2162662243595057,1.019557776376605e-07,0.01954682954329349
5.741539305132477,3.821076939289145,8.621480608326427,-2.0492813041677547,1.2162662243595057,1.503567621856928e-07,0.01954687794427804
5.738115139013355,3.796629208764168,8.632231674374916,-2.054656837191999,1.2162662243595057,2.0843794364482165e-07,0.019546936025459496
5.734101330847047,3.76859501683367,8.644210633640185,-2.0606463168246334,1.2162662243595057,2.781353613957763e-07,0.01954700572287725
5.729418401044138,3.7366464633183547,8.657427467943863,-2.0672547339764726,1.2162662243595057,3.6177226269990204e-07,0.019547089359778554
5.723990054532067,3.7004997014818697,8.671860843732066,-2.074471421870574,1.2162662243595057,4.621365442574024e-07,0.01954718972406011
5.717705576022655,3.6597704173016945,8.68745221387459,-2.0822671069418357,1.2162662243595057,5.825736821331083e-07,0.019547310161197987
5.7104867495516265,3.614247456233071,8.704099869059101,-2.090590934534091,1.2162662243595057,7.270982475802303e-07,0.019547454685763434
5.702243574562052,3.563708623776625,8.72166600155725,-2.099374000783166,1.2162662243595057,9.005277261175216e-07,0.01954762811524197
5.692888500927735,3.507983712190995,8.739970618605609,-2.108526309307345,1.2162662243595057,1.1086431003659963e-06,0.01954783623061622
5.682343051192409,3.4469562815400208,8.75881625031528,-2.117949125162182,1.2162662243595057,1.358381549462676e-06,0.019548085969065317
5.670601551705409,3.3809315212161364,8.777875012691164,-2.1274785063501227,1.2162662243595057,1.6562313933968544e-06,0.01954838381890925
5.660466231390496,3.3255103644661053,8.792754888181541,-2.134918444095312,1.2162662243595057,1.926424916770309e-06,0.019548654012432623
5.651029693517624,3.2749675630658808,8.805551538090281,-2.141316769049682,1.2162662243595057,2.1914986422397197e-06,0.019548919086158092
5.640426470162695,3.2191458003409665,8.818960407395478,-2.1480212037022803,1.2162662243595057,2.5095871128067374e-06,0.01954923717462866
5.628575195437469,3.1578574550048972,8.832843653830645,-2.1549628269198635,1.2162662243595057,2.8912932774834333e-06,0.019549618880793335
5.61842378708792,3.1063024757105877,8.843792999726757,-2.16043749986792,1.2162662243595057,3.2357513084039093e-06,0.019549963338824257
5.608989366441374,3.059038016700627,8.853319776150538,-2.16520088807981,1.2162662243595057,3.573204342134297e-06,0.01955030079185799
5.598364907522873,3.006440378442737,8.863419578734423,-2.1702507893717518,1.2162662243595057,3.978147982608527e-06,0.019550705735498462
5.586460580946344,2.9482307136147585,8.874011937256284,-2.175546968632683,1.2162662243595057,4.464080351177603e-06,0.01955119166786703
5.576273167748448,2.8990431882387675,8.882449809840686,-2.179765904924884,1.2162662243595057,4.901885642740876e-06,0.019551629473158593
5.566801617235276,2.8537533554081156,8.889853440618655,-2.183467720313868,1.2162662243595057,5.3301030373498796e-06,0.019552057690553203
5.556096844675073,2.803002616756579,8.897785089029382,-2.1874335445192314,1.2162662243595057,5.843963910877705e-06,0.019552571551426732
5.544043305232049,2.746393079966561,8.906180468047298,-2.19163123402819,1.2162662243595057,6.460596959110349e-06,0.019553188184474962
5.533723441526255,2.6983964560214737,8.912897637169209,-2.194989818589146,1.2162662243595057,7.013389959517867e-06,0.01955374097747537
5.524166861366989,2.6542570124010934,8.918810760152528,-2.197946380080805,1.2162662243595057,7.551329736594111e-06,0.01955427891725245
5.513256286136117,2.604215692794538,8.925209778835592,-2.201145889422337,1.2162662243595057,8.19685746908933e-06,0.019554924444984943
5.500891312576368,2.5479257004867564,8.932039876904382,-2.2045609384567317,1.2162662243595057,8.971490748077632e-06,0.01955569907826393
5.490392652954532,2.5004454007475387,8.937525538156256,-2.2073037690826687,1.2162662243595057,9.658237120397388e-06,0.01955638582463625
5.480654139970198,2.4567110439270294,8.942305843039428,-2.209693921524255,1.2162662243595057,1.0321281791482121e-05,0.019557048869307335
5.4695341521193095,2.407060439078334,8.94747649648457,-2.2122792482468263,1.2162662243595057,1.1116935396779329e-05,0.01955784452291263
5.456921421170745,2.351051306365029,8.953034705403615,-2.2150583527063485,1.2162662243595057,1.2071719723135233e-05,0.01955879930723899
5.4463269747945855,2.3042595193428896,8.957448706921117,-2.217265353465099,1.2162662243595057,1.2909999659843742e-05,0.019559637587175698
5.436584030353735,2.261407421545164,8.961329026955443,-2.2192055134822626,1.2162662243595057,1.3715471736039966e-05,0.019560443059251892
5.425510049900062,2.2128779400657352,8.965562586620177,-2.2213222933146297,1.2162662243595057,1.468203822747618e-05,0.01956140962574333
5.413035923724555,2.1584187623677584,8.970125259616129,-2.2236036298126054,1.2162662243595057,1.584191801720485e-05,0.019562569505533058
5.402602881472588,2.1130448376326694,8.97376701534335,-2.2254245076762156,1.2162662243595057,1.6864141448345034e-05,0.0195635917289642
5.393025095586976,2.0715127102055986,8.976987999227973,-2.2270349996185272,1.2162662243595057,1.7851923089466988e-05,0.01956457951060532
5.382208609852757,2.0247288761011406,8.980505890395554,-2.2287939452023178,1.2162662243595057,1.9037261058807375e-05,0.01956576484857466
5.370074223238766,1.9723914557534263,8.984305764287303,-2.2306938821481923,1.2162662243595057,2.0459666622020305e-05,0.019567187254137874
5.359811212726049,1.9282588028193304,8.98738637517053,-2.2322341875898064,1.2162662243595057,2.1729382914226502e-05,0.01956845697043008
5.35030366120713,1.8874744264671872,8.990140545446998,-2.2336112727280395,1.2162662243595057,2.29659427934289e-05,0.01956969353030928
5.339513299349927,1.8412916340634837,8.993161890421888,-2.235121945215485,1.2162662243595057,2.4449814648471774e-05,0.019571177402164325
5.327301897886899,1.7891604269885437,8.996447491644721,-2.236764745826901,1.2162662243595057,2.6230460874520243e-05,0.019572958048390373
5.316891155699569,1.744837375198092,8.999127574685847,-2.238104787347464,1.2162662243595057,2.7818410742148756e-05,0.019574545998258003
5.30720676309775,1.7036989763464199,9.001528403130248,-2.239305201569665,1.2162662243595057,2.9357319575276226e-05,0.01957608490709113
5.296116125930985,1.6566854593068783,9.004179371502728,-2.240630685755905,1.2162662243595057,3.120401017503813e-05,0.019577931597690893
5.283486115820372,1.603266850779375,9.007077939587777,-2.2420799697984295,1.2162662243595057,3.3420038894746455e-05,0.0195801476264106
5.272862099559193,1.558434748465654,9.009413976856784,-2.243247988432933,1.2162662243595057,3.5366283878803256e-05,0.019582093871394656
5.263084520708548,1.5172492456151159,9.011489164304743,-2.2442855821569125,1.2162662243595057,3.723426796374842e-05,0.0195839618554796
5.25193306353004,1.4703556442025016,9.013776937003323,-2.2454294685062024,1.2162662243595057,3.947584886568412e-05,0.01958620343638154
5.239331320776123,1.417452299585731,9.016273310604427,-2.2466776553067547,1.2162662243595057,4.2165745948005466e-05,0.01958889333346386
5.228828940933965,1.3734406882830967,9.01827540253843,-2.247678701273756,1.2162662243595057,4.452626375201345e-05,0.019591253851267868
5.219210748956251,1.3331877632441604,9.02005555966651,-2.2485687798377954,1.2162662243595057,4.680012479880825e-05,0.01959352771231466
5.208341252654885,1.287749857717267,9.02201547998794,-2.2495487399985112,1.2162662243595057,4.952875805496424e-05,0.019596256345570818
5.196166005655998,1.2369189336753312,9.024145416034324,-2.2506137080217035,1.2162662243595057,5.280311796234921e-05,0.019599530705478204
5.185949399374205,1.1943145017410475,9.025883422841437,-2.251482711425259,1.2162662243595057,5.5719968202158807e-05,0.019602447555718012
5.176538137929565,1.155111011853706,9.02744186695022,-2.2522619334796503,1.2162662243595057,5.856294707841426e-05,0.01960529053459427
5.1659576680040855,1.1110766820281177,9.029154317073887,-2.253118158541485,1.2162662243595057,6.197452172992379e-05,0.019608702109245778
5.154150374437405,1.0619841517600648,9.031017673075219,-2.254049836542151,1.2162662243595057,6.606841131173075e-05,0.019612795998827585
5.14412099561329,1.020328269077553,9.032556040461271,-2.254819020235176,1.2162662243595057,6.976822630538047e-05,0.019616495813821234
5.134820564108087,0.9817332488823596,9.033949334635652,-2.255515667322367,1.2162662243595057,7.340582241983711e-05,0.01962013340993569
5.124361798965418,0.9383655140226329,9.035482008924703,-2.2562820044668923,1.2162662243595057,7.77709377571866e-05,0.01962449852527304
5.112677176915661,0.8899577050888181,9.03715132965949,-2.257116664834286,1.2162662243595057,8.300907616200298e-05,0.019629736663677858
5.102687637723632,0.8486125032213259,9.038538374758867,-2.257810187383974,1.2162662243595057,8.776911392683535e-05,0.01963449670144269
5.091488366876345,0.8022976742448776,9.04005612034617,-2.258569060177626,1.2162662243595057,9.348115924463048e-05,0.019640208746760483
5.07901657776611,0.7507651699743887,9.041701468175718,-2.2593917340923997,1.2162662243595057,0.00010033561362598464,0.01964706320114184
5.068718996974449,0.7082578103727425,9.043018504610718,-2.2600502523099,1.2162662243595057,0.00010635989002423361,0.019653087477540087
5.0592915276480515,0.6693732135225577,9.044193224155315,-2.2606376120821983,1.2162662243595057,0.00011220455281482264,0.019658932140330675
5.048690216845243,0.6256775793272022,9.045483615139434,-2.2612828075742573,1.2162662243595057,0.00011921814816352725,0.01966594573567938
