# Evolutionary track for a 1.1322 Msun sequence with He atmosphere.
# log Teff [K], log L/Lsun, log g [cm/s^2], log radius [Rsun], mass [Msun], cooling age [Gyr], total age [Gyr]
5.6057804474132595,3.3434549246675456,8.524950791557364,-2.01657459604012,1.1321715725090784,0.0,0.02125954695580552
5.602211173384674,3.3220168846943863,8.532111735416184,-2.020155067969529,1.1321715725090784,1.7357696284353734e-07,0.02125972053276836
5.598041104435823,3.297240061585126,8.540208282730037,-2.0242033416264555,1.1321715725090784,3.818693182617426e-07,0.02125992882512378
5.593189484432919,3.268761948431447,8.549279915872102,-2.0287391581974883,1.1321715725090784,6.318201447613537e-07,0.021260178775950277
5.587566037207062,3.2362025963989067,8.559345479001212,-2.0337719397620435,1.1321715725090784,9.317611365653574e-07,0.02126047871694208
5.581077759918599,3.199186836747763,8.570408129498505,-2.0393032650106897,1.1321715725090784,1.2916903267279267e-06,0.021260838646132246
5.57362403132436,3.157346319571261,8.58243373229805,-2.0453160664104626,1.1321715725090784,1.7236053549163044e-06,0.021261270561160433
5.565102720500579,3.110339238814586,8.595355569759601,-2.051776985141238,1.1321715725090784,2.241903388746083e-06,0.021261788859194265
5.555412103754871,3.0578586301381745,8.60907371145318,-2.0586360559880275,1.1321715725090784,2.863861029341817e-06,0.02126241081683486
5.544452538835198,2.9996366497759355,8.623457432136728,-2.065827916329802,1.1321715725090784,3.6102101980596782e-06,0.021263157166003577
5.532125603791861,2.9354500438934834,8.638336297845834,-2.0732673491843547,1.1321715725090784,4.5058292005173865e-06,0.021264052785006034
5.521694563128145,2.882199945922466,8.649862233161988,-2.0790303168424313,1.1321715725090784,5.299556932691485e-06,0.02126484651273821
5.512058716710896,2.8337260845185086,8.65979270889695,-2.083995554709912,1.1321715725090784,6.067788025729358e-06,0.02126561474383125
5.501152296731064,2.7795413521576013,8.670351761338527,-2.0892750809307006,1.1321715725090784,6.989665337376296e-06,0.021266536621142893
5.488843851671835,2.7192204096147443,8.681438923644471,-2.0948186620836733,1.1321715725090784,8.095918111346663e-06,0.021267642873916866
5.47838684244265,2.668660716635157,8.690170579707319,-2.0991844901150967,1.1321715725090784,9.077876731503755e-06,0.021268624832537022
5.468688545921219,2.6222720660693284,8.69776604418742,-2.102982222355147,1.1321715725090784,1.0027680383007974e-05,0.021269574636188525
5.4576406465894225,2.569896704050247,8.705949808879314,-2.107074104701095,1.1321715725090784,1.116744476481527e-05,0.021270714400570333
5.445103929813484,2.511013933167537,8.714685712658268,-2.1114420565905716,1.1321715725090784,1.2535162022985517e-05,0.0212720821178285
5.434481840535333,2.4617193336091208,8.721491955104081,-2.1148451778134776,1.1321715725090784,1.373975970260799e-05,0.021273286715508127
5.424678614818166,2.416582961163882,8.727415424680654,-2.1178069126017647,1.1321715725090784,1.4897299903538078e-05,0.021274444255709055
5.413495682041436,2.3654333860050314,8.733833268732583,-2.1210158346277295,1.1321715725090784,1.6286348144654184e-05,0.02127583330395017
5.400824737221626,2.3078811330694737,8.7407017423889,-2.124450071455888,1.1321715725090784,1.7953206033989788e-05,0.02127750016183951
5.3902080025762835,2.260021540266033,8.746094396610976,-2.127146398566926,1.1321715725090784,1.941292762003839e-05,0.021278959883425555
5.380494029267921,2.216403337305093,8.750856706338462,-2.129527553430669,1.1321715725090784,2.081406797831878e-05,0.021280361023783837
5.36945287148989,2.1670850755614888,8.756010336969945,-2.13210436874641,1.1321715725090784,2.249543640825525e-05,0.021282042392213773
5.357027489319376,2.1118474321565692,8.761546451692805,-2.1348724261078402,1.1321715725090784,2.4513078524172306e-05,0.02128406003432969
5.3466024484527725,2.065729233578309,8.765964486804652,-2.1370814436637637,1.1321715725090784,2.629432511667907e-05,0.0212858412809222
5.337000570154474,2.0234176028262256,8.769868604363543,-2.139033502443209,1.1321715725090784,2.801683059222996e-05,0.021287563786397748
5.326113329039536,1.9756075185911341,8.774129724138884,-2.14116406233088,1.1321715725090784,3.0083837162893265e-05,0.02128963079296841
5.313822027556001,1.921840467892189,8.778731568903687,-2.1434649847132814,1.1321715725090784,3.256424504768476e-05,0.0212921112008532
5.3034008758197455,1.876440076902095,8.78244735294876,-2.145322876735817,1.1321715725090784,3.476770025543496e-05,0.021294314656060954
5.293731646275291,1.8344566440789907,8.785753867594046,-2.1469761340584608,1.1321715725090784,3.69011553292498e-05,0.021296448111134767
5.282674951819693,1.786599382285107,8.789384351565541,-2.148791376044208,1.1321715725090784,3.946130141782761e-05,0.021299008257223345
5.270079759049781,1.732271618365517,8.793331344405479,-2.150764872464177,1.1321715725090784,4.2533476724114267e-05,0.02130208043252963
